variable,field,mae,rmse,bias,corr_with_hr
thetao,lr,0.4487324059009552,2.1554384231567383,-0.17567144334316254,0.9836712003330017
thetao,mu_cno,0.22913546860218048,0.40151727199554443,0.0001542750105727464,0.9994303484463317
thetao,pred_cno_fm,0.277195543050766,0.4485834538936615,0.001070049125701189,0.9992890573196218
thetao,fm_residual_vs_target,0.277195543050766,0.4485834538936615,0.0010700493585318327,0.06375951462888263
so,lr,1.0004856586456299,5.429543495178223,-0.9012321829795837,0.4428874835912328
so,mu_cno,0.10918993502855301,0.27204370498657227,-0.0008812357555143535,0.9919790058797543
so,pred_cno_fm,0.13245248794555664,0.29693934321403503,-0.00323867448605597,0.9904359670339765
so,fm_residual_vs_target,0.13245248794555664,0.29693934321403503,-0.003238674718886614,0.020212837891975394
zos,lr,0.04090036079287529,0.1261874884366989,0.008747375570237637,0.9848910243963995
zos,mu_cno,0.013259490951895714,0.023703383281826973,-0.0005831010639667511,0.9994686464130805
zos,pred_cno_fm,0.015649938955903053,0.026188407093286514,-0.0006082585896365345,0.9993513614096208
zos,fm_residual_vs_target,0.015649938955903053,0.026188407093286514,-0.0006082586478441954,0.07417781492019702
uo,lr,0.06521027535200119,0.10485637933015823,0.0002260284818476066,0.7999307029667135
uo,mu_cno,0.045102812349796295,0.06987693905830383,-0.0005888119922019541,0.9142517392559688
uo,pred_cno_fm,0.05693263188004494,0.08560364693403244,0.0003466083435341716,0.8724431710522196
uo,fm_residual_vs_target,0.05693263188004494,0.08560364693403244,0.0003466083435341716,0.009199627267756307
vo,lr,0.06103144586086273,0.0994388610124588,0.00011481398541945964,0.7419659743003254
vo,mu_cno,0.041172340512275696,0.0640551820397377,-0.00012296985369175673,0.8964285901162068
vo,pred_cno_fm,0.05215730145573616,0.0786411464214325,0.0005116724641993642,0.8451641270089031
vo,fm_residual_vs_target,0.05215730145573616,0.0786411464214325,0.0005116725224070251,0.006072101454398122
